,다변량시 쓰일 변수들,,,,LNG발전,575000,계산식 상수,계산식 상수,계산식 상수,,단변량 시계열 예측-ML/시계열 단순,단변량 시계열 예측-ML/시계열 단순,,,,LNG발전 2기 저부하에 대한 효율 학습 필요,,,,83.6,2기가동시,,,
,,,,,,287500,한달 고정변수1,한달 고정변수2,한달 고정변수3,,,,,,,,,,,41.8,1기가동시,,,
,,,,,,,,,9.107,1.712,,,,,y,,"가동가능여부(+면 가동가능, -면 가동불가능)",,,경제성(억원),,,,한달 고정변수
구분,smp(원/kWh),LNG발전량(kW),역송량(kW),수전량(kW),순부하(kW),Unnamed: 6,수전단가(원/kWh),LNG가격($/MMBtu),LNG열량(Mcal/N㎥),LNG발전 효율(Mcal/kWh),"LNG발전 1기
대체단가(원/kWh)","LNG발전 2기
대체단가(원/kWh)","LNG발전 2기 저부하
대체단가(원/kwh)","LNG발전 1기
BEP($/MMBtu)","LNG발전 2기
BEP($/MMBtu)","LNG발전 2기 저부하
BEP($/MMBtu)",LNG발전 1기,LNG발전 2기,LNG발전 2기 저부하,LNG발전 1기.1,LNG발전 2기.1,LNG발전 2기 저부하.1,Unnamed: 23,환율(원/$)
2025-01-01 0:00,81.99,0,0,380910,380910,0,149.9,14.8,9.1,0.0,150,104,150,0.0,0.0,12.7,0,0.0,-2.1,0.0,0.0,-0.1,0,1477
2025-01-01 1:00,78.61,0,0,366560,366560,0,149.9,14.8,9.2,0.0,150,98,150,0.0,0.0,12.8,0,0.0,-2.0,0.0,0.0,-0.1,0,1473
2025-01-01 2:00,78.61,0,0,363600,363600,0,149.9,14.8,9.2,0.0,150,97,150,0.0,0.0,12.8,0,0.0,-2.0,0.0,0.0,-0.1,0,1475
2025-01-01 3:00,78.61,0,0,363970,363970,0,149.9,14.8,9.1,0.0,150,98,150,0.0,0.0,12.8,0,0.0,-2.0,0.0,0.0,-0.1,0,1475
2025-01-01 4:00,78.61,0,0,351210,351210,0,149.9,14.8,9.2,0.0,150,94,150,0.0,0.0,12.9,0,0.0,-1.9,0.0,0.0,-0.1,0,1478
2025-01-01 5:00,78.61,0,0,384990,384990,0,149.9,14.8,9.1,0.0,150,103,150,0.0,0.0,12.7,0,0.0,-2.1,0.0,0.0,-0.1,0,1477
2025-01-01 6:00,79.74,0,0,368840,368840,0,149.9,14.8,9.1,0.0,150,100,150,0.0,0.0,12.7,0,0.0,-2.1,0.0,0.0,-0.1,0,1479
2025-01-01 7:00,79.74,0,0,409100,409100,0,149.9,14.8,9.2,0.0,150,109,150,0.0,0.0,12.9,0,0.0,-1.9,0.0,0.0,-0.1,0,1474
2025-01-01 8:00,77.32,0,0,464420,464420,0,149.9,14.8,9.0,0.0,150,122,150,0.0,0.0,12.6,0,0.0,-2.2,0.0,0.0,-0.1,0,1476
